,YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE,LUNCH_COUNT_FREE_REDUCED_PCT,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG,FULL_CODE,CHARTER,MAGNET,ALTERNATIVE,lat,lng
265,2017,115115,ST. LOUIS CITY,1730,SOLDAN INTERNATIONAL STUDIES,574,563,*,,25,4.36,,,496,86.41,36,6.27,*,*,*,*,*,*,16,2.79,92,16.03,*,*,19,3.31,*,918 N Union Boulevard,,St. Louis ,631081089,3143679222,3143671898,9,12,44,441,0,441, , , ,Y, , ,115-115-1730,FALSE,TRUE,FALSE,38.65521699,-90.27211803
266,2018,115115,ST. LOUIS CITY,1730,SOLDAN INTERNATIONAL STUDIES,551,531,*,,25,4.54,,,470,85.3,33,5.99,*,*,*,*,*,*,22,3.99,113,20.51,*,*,22,3.99,*,918 N Union Boulevard,,St. Louis ,631081089,3143679222,3143671898,9,12,44,441,0,441, , , ,Y, , ,115-115-1730,FALSE,TRUE,FALSE,38.65521699,-90.27211803
267,2019,115115,ST. LOUIS CITY,1730,SOLDAN INTERNATIONAL STUDIES,527,511,*,,10,1.9,,,455,86.34,32,6.07,*,*,*,*,*,*,29,5.5,105,19.92,*,*,20,3.8,*,918 N Union Boulevard,,St. Louis ,631081089,3143679222,3143671898,9,12,44,441,0,441, , , ,Y, , ,115-115-1730,FALSE,TRUE,FALSE,38.65521699,-90.27211803
268,2020,115115,ST. LOUIS CITY,1730,SOLDAN INTERNATIONAL STUDIES,511,494,*,,11,2.15,,,451,88.26,37,7.24,*,*,*,*,*,*,11,2.15,93,18.2,*,*,28,5.48,*,918 N Union Boulevard,,St. Louis ,631081089,3143679222,3143671898,9,12,44,441,0,441, , , ,Y, , ,115-115-1730,FALSE,TRUE,FALSE,38.65521699,-90.27211803
269,2000,115115,ST. LOUIS CITY,1800,SUMNER HIGH,807,722,467,64.7,,,*,*,787,97.52,*,*,*,*,*,*,,,19,2.35,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
270,2001,115115,ST. LOUIS CITY,1800,SUMNER HIGH,730,641,332,51.8,,,*,*,710,97.26,*,*,*,*,*,*,,,19,2.6,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
271,2002,115115,ST. LOUIS CITY,1800,SUMNER HIGH,883,691,472,68.3,,,*,*,871,98.64,*,*,*,*,*,*,,,11,1.25,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
272,2003,115115,ST. LOUIS CITY,1800,SUMNER HIGH,905,839,521,62.1,,,*,*,896,99.01,*,*,*,*,*,*,,,6,0.66,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
273,2004,115115,ST. LOUIS CITY,1800,SUMNER HIGH,1094,979,571,58.3,,,*,*,1089,99.54,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
274,2005,115115,ST. LOUIS CITY,1800,SUMNER HIGH,1252,1148,1064,92.7,,,*,*,1246,99.52,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
275,2006,115115,ST. LOUIS CITY,1800,SUMNER HIGH,1213,1166,948,,,,*,*,1208,99.59,*,*,*,*,*,*,,,*,*,*,*,*,*,284,23.41,81.3,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
276,2007,115115,ST. LOUIS CITY,1800,SUMNER HIGH,840,729,576,,,,*,*,837,99.64,*,*,*,*,*,*,,,*,*,*,*,*,*,191,22.74,79,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
277,2008,115115,ST. LOUIS CITY,1800,SUMNER HIGH,1016,837,541,,,,*,*,1006,99.02,*,*,*,*,*,*,,,6,0.59,*,*,*,*,265,26.08,64.6,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
278,2009,115115,ST. LOUIS CITY,1800,SUMNER HIGH,948,861,530,,,,*,*,940,99.16,5,0.53,*,*,*,*,,,*,*,*,*,*,*,223,23.52,61.6,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
279,2010,115115,ST. LOUIS CITY,1800,SUMNER HIGH,878,787,578,,,,*,*,869,98.97,*,*,*,*,*,*,,,*,*,6,0.68,*,*,210,23.92,73.4,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
280,2011,115115,ST. LOUIS CITY,1800,SUMNER HIGH,586,536,469,,*,*,,,583,99.49,*,*,*,*,*,*,*,*,*,*,*,*,*,*,142,24.23,87.5,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
281,2012,115115,ST. LOUIS CITY,1800,SUMNER HIGH,521,563,499,,*,*,,,520,99.81,*,*,*,*,*,*,*,*,*,*,*,*,*,*,140,26.87,88.6,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
282,2013,115115,ST. LOUIS CITY,1800,SUMNER HIGH,576,536,480,,*,*,,,565,98.09,*,*,*,*,*,*,*,*,*,*,10,1.74,*,*,140,24.31,89.6,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
283,2014,115115,ST. LOUIS CITY,1800,SUMNER HIGH,579,520,487,,*,*,,,574,99.14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,134,23.14,93.7,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
284,2015,115115,ST. LOUIS CITY,1800,SUMNER HIGH,440,446,*,,*,*,,,433,98.41,*,*,*,*,*,*,*,*,*,*,7,1.59,*,*,106,24.09,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
285,2016,115115,ST. LOUIS CITY,1800,SUMNER HIGH,356,368,*,,*,*,,,355,99.72,*,*,*,*,*,*,*,*,*,*,*,*,*,*,88,24.72,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
286,2017,115115,ST. LOUIS CITY,1800,SUMNER HIGH,320,294,*,,*,*,,,319,99.69,*,*,*,*,*,*,*,*,*,*,*,*,*,*,96,30,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
287,2018,115115,ST. LOUIS CITY,1800,SUMNER HIGH,272,262.75,*,,*,*,,,269,98.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,77,28.31,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
288,2019,115115,ST. LOUIS CITY,1800,SUMNER HIGH,267,260,*,,*,*,,,262,98.13,*,*,*,*,*,*,*,*,*,*,*,*,*,*,69,25.84,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
289,2020,115115,ST. LOUIS CITY,1800,SUMNER HIGH,193,202,*,,*,*,,,190,98.45,*,*,*,*,*,*,*,*,*,*,*,*,*,*,52,26.94,*,4248 Cottage Avenue,,St. Louis ,631132545,3143711048,3145319852,9,12,28,229,0,229, , , ,Y, , ,115-115-1800,FALSE,FALSE,FALSE,38.65974498,-90.239324
290,2000,115115,ST. LOUIS CITY,1830,VASHON HIGH,1107,958,607,63.4,,,*,*,1106,99.91,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3405 Bell Avenue,,St. Louis ,63106,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64274799,-90.22825804
291,2001,115115,ST. LOUIS CITY,1830,VASHON HIGH,1157,978,734,75.1,,,*,*,1152,99.57,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3405 Bell Avenue,,St. Louis ,63106,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64274799,-90.22825804
292,2002,115115,ST. LOUIS CITY,1830,VASHON HIGH,1081,1054,467,44.3,,,*,*,1079,99.81,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3405 Bell Avenue,,St. Louis ,63106,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64274799,-90.22825804
293,2003,115115,ST. LOUIS CITY,1830,VASHON HIGH,1208,1118,769,68.8,,,*,*,1203,99.59,*,*,*,*,*,*,,,5,0.41,*,*,*,*,*,*,,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
294,2004,115115,ST. LOUIS CITY,1830,VASHON HIGH,1429,1360,1064,78.2,,,*,*,1425,99.72,*,*,*,*,*,*,,,*,*,*,*,*,*,*,*,,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
295,2005,115115,ST. LOUIS CITY,1830,VASHON HIGH,1524,1363,1013,74.3,,,*,*,1518,99.61,*,*,*,*,*,*,,,6,0.39,*,*,*,*,*,*,,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
296,2006,115115,ST. LOUIS CITY,1830,VASHON HIGH,1309,1140,864,,,,*,*,1304,99.62,*,*,*,*,*,*,,,5,0.38,*,*,*,*,334,25.52,75.8,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
297,2007,115115,ST. LOUIS CITY,1830,VASHON HIGH,868,734,550,,,,*,*,865,99.65,*,*,*,*,*,*,,,*,*,*,*,*,*,213,24.54,74.9,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
298,2008,115115,ST. LOUIS CITY,1830,VASHON HIGH,713,529,341,,,,*,*,713,100,*,*,*,*,*,*,,,*,*,*,*,*,*,179,25.11,64.5,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
299,2009,115115,ST. LOUIS CITY,1830,VASHON HIGH,818,727,533,,,,*,*,815,99.63,*,*,*,*,*,*,,,*,*,*,*,*,*,222,27.14,73.3,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
300,2010,115115,ST. LOUIS CITY,1830,VASHON HIGH,739,672,548,,,,*,*,736,99.59,*,*,*,*,*,*,,,*,*,*,*,*,*,184,24.9,81.5,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
301,2011,115115,ST. LOUIS CITY,1830,VASHON HIGH,658,671,601,,*,*,,,651,98.94,*,*,*,*,*,*,*,*,6,0.91,*,*,*,*,171,25.99,89.6,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
302,2012,115115,ST. LOUIS CITY,1830,VASHON HIGH,828,812,721,,*,*,,,814,98.31,*,*,*,*,*,*,*,*,10,1.21,7,0.85,*,*,188,22.71,88.8,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
303,2013,115115,ST. LOUIS CITY,1830,VASHON HIGH,900,838,740,,*,*,,,887,98.56,*,*,*,*,*,*,*,*,8,0.89,7,0.78,*,*,197,21.89,88.3,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
304,2014,115115,ST. LOUIS CITY,1830,VASHON HIGH,864,830,763,,*,*,,,856,99.07,*,*,*,*,*,*,*,*,6,0.69,12,1.39,*,*,200,23.15,91.9,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
305,2015,115115,ST. LOUIS CITY,1830,VASHON HIGH,645,617,*,,*,*,,,642,99.53,*,*,*,*,*,*,*,*,*,*,9,1.4,*,*,126,19.53,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
306,2016,115115,ST. LOUIS CITY,1830,VASHON HIGH,616,604,*,,*,*,,,613,99.51,*,*,*,*,*,*,*,*,*,*,*,*,*,*,127,20.62,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
307,2017,115115,ST. LOUIS CITY,1830,VASHON HIGH,510,473,*,,*,*,,,506,99.22,*,*,*,*,*,*,*,*,*,*,*,*,*,*,104,20.39,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
308,2018,115115,ST. LOUIS CITY,1830,VASHON HIGH,422,407,*,,*,*,,,418,99.05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,92,21.8,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
309,2019,115115,ST. LOUIS CITY,1830,VASHON HIGH,440,440,*,,*,*,,,434,98.64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,103,23.41,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
310,2020,115115,ST. LOUIS CITY,1830,VASHON HIGH,440,479,*,,*,*,,,432,98.18,*,*,*,*,*,*,*,*,6,1.36,*,*,*,*,80,18.18,*,3035 Cass Avenue,,St. Louis ,631061533,3145339487,3145337540,9,12,42,539,0,539, , , ,Y, , ,115-115-1830,FALSE,FALSE,FALSE,38.64786799,-90.22131598
311,2000,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,689,650,297,45.7,,,*,*,415,60.23,5,0.73,*,*,*,*,,,263,38.17,*,*,*,*,*,*,,3616 Garrison Ave.,,St. Louis ,63107,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.65947196,-90.21525739
312,2001,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,721,685,364,53.1,,,*,*,468,64.91,5,0.69,*,*,*,*,,,245,33.98,*,*,*,*,*,*,,3616 Garrison Ave.,,St. Louis ,63107,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.65947196,-90.21525739
313,2002,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,616,576,377,65.5,,,*,*,397,64.45,6,0.97,*,*,*,*,,,210,34.09,*,*,*,*,*,*,,3616 Garrison Ave.,,St. Louis ,63107,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.65947196,-90.21525739
314,2003,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,493,478,305,63.8,,,*,*,325,65.92,*,*,*,*,*,*,,,164,33.27,*,*,*,*,*,*,,3616 Garrison Ave.,,St. Louis ,63107,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.65947196,-90.21525739
315,2004,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,507,503,325,64.6,,,*,*,330,65.09,5,0.99,*,*,*,*,,,171,33.73,*,*,*,*,*,*,,3616 Garrison Ave.,,St. Louis ,63107,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.65947196,-90.21525739
316,2005,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,541,555,342,61.6,,,*,*,352,65.06,10,1.85,*,*,*,*,,,176,32.53,*,*,*,*,*,*,,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
317,2006,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,584,561,374,,,,*,*,381,65.24,13,2.23,*,*,*,*,,,184,31.51,*,*,*,*,121,20.72,66.7,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
318,2007,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,623,599,415,,,,*,*,432,69.34,16,2.57,*,*,*,*,,,169,27.13,*,*,*,*,117,18.78,69.3,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
319,2008,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,688,666,386,,,,13,1.89,476,69.19,20,2.91,*,*,*,*,,,178,25.87,*,*,*,*,104,15.12,58,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
320,2009,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,781,737,466,,,,14,1.79,560,71.7,16,2.05,*,*,*,*,,,189,24.2,*,*,*,*,123,15.75,63.2,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
321,2010,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,694,659,533,,,,13,1.87,510,73.49,22,3.17,*,*,*,*,,,148,21.33,31,4.47,*,*,108,15.56,80.9,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
322,2011,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,522,486,406,,13,2.49,,,378,72.41,17,3.26,*,*,*,*,*,*,114,21.84,17,3.26,*,*,74,14.18,83.5,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
323,2012,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,423,395,309,,9,2.13,,,308,72.81,10,2.36,*,*,*,*,*,*,95,22.46,5,1.18,*,*,62,14.66,78.2,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
324,2013,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,388,383,303,,6,1.55,,,296,76.29,7,1.8,*,*,*,*,*,*,78,20.1,5,1.29,*,*,44,11.34,79.1,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
325,2014,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,402,391,334,,*,*,,,332,82.59,7,1.74,*,*,*,*,*,*,58,14.43,*,*,*,*,38,9.45,85.4,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
326,2015,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,396,389,*,,*,*,,,324,81.82,13,3.28,*,*,*,*,*,*,52,13.13,*,*,*,*,34,8.59,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
327,2016,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,408,400,*,,*,*,,,335,82.11,17,4.17,*,*,*,*,*,*,51,12.5,*,*,*,*,30,7.35,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
328,2017,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,411,403,*,,*,*,,,330,80.29,22,5.35,*,*,*,*,*,*,53,12.9,*,*,*,*,32,7.79,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
329,2018,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,400,388,*,,7,1.75,,,304,76,25,6.25,*,*,*,*,*,*,62,15.5,10,2.5,*,*,37,9.25,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
330,2019,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,365,357,*,,6,1.64,,,274,75.07,24,6.58,*,*,*,*,*,*,60,16.44,11,3.01,*,*,40,10.96,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
331,2020,115115,ST. LOUIS CITY,1860,CENTRAL VISUAL/PERF. ARTS HIGH,410,400,*,,9,2.2,,,307,74.88,27,6.59,*,*,*,*,*,*,66,16.1,13,3.17,*,*,47,11.46,*,3125 S Kingshighway Boulevard,,St. Louis ,631391027,3147712772,3147710135,9,12,35,381,0,381, , , ,Y, , ,115-115-1860,FALSE,TRUE,FALSE,38.60448699,-90.27038901
332,2018,115914,KIPP ST LOUIS PUBLIC SCHOOLS,1905,KIPP ST. LOUIS HIGH,111,99,*,,*,*,,,106,95.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20,18.02,*,706 N Jefferson Ave.,706 N Jefferson Ave.,St. Louis,631031508,3142411030,8662771941,9,12,46,509,0,509, , , ,Y, , ,115-914-1905,TRUE,FALSE,FALSE,38.63586402,-90.21236
333,2019,115914,KIPP ST LOUIS PUBLIC SCHOOLS,1905,KIPP ST. LOUIS HIGH,214,197,*,,*,*,,,202,94.39,9,4.21,*,*,*,*,*,*,*,*,9,4.21,*,*,33,15.42,*,706 N Jefferson Ave.,706 N Jefferson Ave.,St. Louis,631031508,3142411030,8662771941,9,12,46,509,0,509, , , ,Y, , ,115-914-1905,TRUE,FALSE,FALSE,38.63586402,-90.21236
